token,symbol,name,exch_seg,tick_size,Company Name,Industry
25,ADANIENT-EQ,ADANIENT,NSE,5,Adani Enterprises Ltd.,Metals & Mining
1363,HINDALCO-EQ,HINDALCO,NSE,5,Hindalco Industries Ltd.,Metals & Mining
5900,AXISBANK-EQ,AXISBANK,NSE,5,Axis Bank Ltd.,Financial Services
1232,GRASIM-EQ,GRASIM,NSE,5,Grasim Industries Ltd.,Construction Materials
16669,BAJAJ-AUTO-EQ,BAJAJ-AUTO,NSE,5,Bajaj Auto Ltd.,Automobile and Auto Components
1394,HINDUNILVR-EQ,HINDUNILVR,NSE,5,Hindustan Unilever Ltd.,Fast Moving Consumer Goods
11483,LT-EQ,LT,NSE,5,Larsen & Toubro Ltd.,Construction
547,BRITANNIA-EQ,BRITANNIA,NSE,5,Britannia Industries Ltd.,Fast Moving Consumer Goods
11630,NTPC-EQ,NTPC,NSE,5,NTPC Ltd.,Power
157,APOLLOHOSP-EQ,APOLLOHOSP,NSE,5,Apollo Hospitals Enterprise Ltd.,Healthcare
11723,JSWSTEEL-EQ,JSWSTEEL,NSE,5,JSW Steel Ltd.,Metals & Mining
3045,SBIN-EQ,SBIN,NSE,5,State Bank of India,Financial Services
2475,ONGC-EQ,ONGC,NSE,5,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels
15083,ADANIPORTS-EQ,ADANIPORTS,NSE,5,Adani Ports and Special Economic Zone Ltd.,Services
317,BAJFINANCE-EQ,BAJFINANCE,NSE,5,Bajaj Finance Ltd.,Financial Services
1333,HDFCBANK-EQ,HDFCBANK,NSE,5,HDFC Bank Ltd.,Financial Services
4963,ICICIBANK-EQ,ICICIBANK,NSE,5,ICICI Bank Ltd.,Financial Services
3506,TITAN-EQ,TITAN,NSE,5,Titan Company Ltd.,Consumer Durables
13538,TECHM-EQ,TECHM,NSE,5,Tech Mahindra Ltd.,Information Technology
20374,COALINDIA-EQ,COALINDIA,NSE,5,Coal India Ltd.,Oil Gas & Consumable Fuels
14977,POWERGRID-EQ,POWERGRID,NSE,5,Power Grid Corporation of India Ltd.,Power
5258,INDUSINDBK-EQ,INDUSINDBK,NSE,5,IndusInd Bank Ltd.,Financial Services
1348,HEROMOTOCO-EQ,HEROMOTOCO,NSE,5,Hero MotoCorp Ltd.,Automobile and Auto Components
21808,SBILIFE-EQ,SBILIFE,NSE,5,SBI Life Insurance Company Ltd.,Financial Services
2031,M&M-EQ,M&M,NSE,5,Mahindra & Mahindra Ltd.,Automobile and Auto Components
3499,TATASTEEL-EQ,TATASTEEL,NSE,5,Tata Steel Ltd.,Metals & Mining
10940,DIVISLAB-EQ,DIVISLAB,NSE,5,Divi's Laboratories Ltd.,Healthcare
16675,BAJAJFINSV-EQ,BAJAJFINSV,NSE,5,Bajaj Finserv Ltd.,Financial Services
694,CIPLA-EQ,CIPLA,NSE,5,Cipla Ltd.,Healthcare
526,BPCL-EQ,BPCL,NSE,5,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
18143,JIOFIN-EQ,JIOFIN,NSE,5,Jio Financial Services Ltd.,Financial Services
11536,TCS-EQ,TCS,NSE,5,Tata Consultancy Services Ltd.,Information Technology
17963,NESTLEIND-EQ,NESTLEIND,NSE,5,Nestle India Ltd.,Fast Moving Consumer Goods
11287,UPL-EQ,UPL,NSE,5,UPL Ltd.,Chemicals
1660,ITC-EQ,ITC,NSE,5,ITC Ltd.,Fast Moving Consumer Goods
3351,SUNPHARMA-EQ,SUNPHARMA,NSE,5,Sun Pharmaceutical Industries Ltd.,Healthcare
881,DRREDDY-EQ,DRREDDY,NSE,5,Dr. Reddy's Laboratories Ltd.,Healthcare
3456,TATAMOTORS-EQ,TATAMOTORS,NSE,5,Tata Motors Ltd.,Automobile and Auto Components
3432,TATACONSUM-EQ,TATACONSUM,NSE,5,Tata Consumer Products Ltd.,Fast Moving Consumer Goods
236,ASIANPAINT-EQ,ASIANPAINT,NSE,5,Asian Paints Ltd.,Consumer Durables
2885,RELIANCE-EQ,RELIANCE,NSE,5,Reliance Industries Ltd.,Oil Gas & Consumable Fuels
10604,BHARTIARTL-EQ,BHARTIARTL,NSE,5,Bharti Airtel Ltd.,Telecommunication
3787,WIPRO-EQ,WIPRO,NSE,5,Wipro Ltd.,Information Technology
11532,ULTRACEMCO-EQ,ULTRACEMCO,NSE,5,UltraTech Cement Ltd.,Construction Materials
467,HDFCLIFE-EQ,HDFCLIFE,NSE,5,HDFC Life Insurance Company Ltd.,Financial Services
910,EICHERMOT-EQ,EICHERMOT,NSE,5,Eicher Motors Ltd.,Automobile and Auto Components
10999,MARUTI-EQ,MARUTI,NSE,5,Maruti Suzuki India Ltd.,Automobile and Auto Components
1594,INFY-EQ,INFY,NSE,5,Infosys Ltd.,Information Technology
1922,KOTAKBANK-EQ,KOTAKBANK,NSE,5,Kotak Mahindra Bank Ltd.,Financial Services
7229,HCLTECH-EQ,HCLTECH,NSE,5,HCL Technologies Ltd.,Information Technology
17818,LTIM-EQ,LTIM,NSE,5,LTIMindtree Ltd.,Information Technology
